序号,标题,链接,时长
91,59. 和杨植麟聊大模型创业这一年：人类理想的增量、有概率的非共识和Sora,https://www.youtube.com/watch?v=DLsQUq8U2z8,4800秒
92,58. 和吴晓波聊中国企业家小史：如果未来没有大生意，年轻人不如过自己喜欢的人生,https://www.youtube.com/watch?v=X6EgRlmCX0w,2498秒
93,57. 《繁花》真实版上海90年代：充满危险气息的黄河路和股市,https://www.youtube.com/watch?v=jVU1dCMj2ik,4413秒
94,56. 拼多多、名创优品崛起，是消费降级胜利吗？漫谈名创全球化之路,https://www.youtube.com/watch?v=i6lxbMvq6Hk,5713秒
95,55. 与小Lin的线下活动｜不可控周期中，提高微小个体的生命质量,https://www.youtube.com/watch?v=8R4K-XYBPo8,3325秒
96,54. 口述全球大模型这一年：人类千亿科学豪赌与参差的中美景观,https://www.youtube.com/watch?v=3n8FPjjNChs,5587秒
97,53. 从萨特曼的宏大叙事，聊到赴中东掘金的中国人肖像,https://www.youtube.com/watch?v=khvuJVCon4Y,3917秒
98,52.【职场人性】论嫉妒：人类最禁忌的情感，在职场里暗涌,https://www.youtube.com/watch?v=KGvTT7IXdAU,4813秒
99,51. 地缘政治与大国汽车：中国跃居第一出口国？别浪费大危机,https://www.youtube.com/watch?v=jYcIksen3YQ,4697秒
100,50. 95后、00后创业者怎么样了？他们的生猛、高马斯克值与现实,https://www.youtube.com/watch?v=igiYhM2Xr9Y,4448秒
101,49. 闲话蔚小理往事：大佬、出牌、生死时局【汽车史话番外】,https://www.youtube.com/watch?v=gaoUWY2Lk0g,3927秒
102,48. OpenAI的权力游戏：脸谱、硅谷精英政治与讽刺意味,https://www.youtube.com/watch?v=ezH9xrZpklU,4010秒
103,47. 接班百亿基金的琐碎小事：徐小平和他的门徒,https://www.youtube.com/watch?v=Qa3EKjbPDrk,4904秒
104,46. 失去逍遥子的第一个双十一：诡计、大混战与小阳谋,https://www.youtube.com/watch?v=wJ6fVGXXqTw,5105秒
105,45. 漫谈宝洁：隐藏在186年消费品王国里的规则和秘密,https://www.youtube.com/watch?v=COraIk6ulvc,5678秒
106,44. 谈诺贝尔经济奖与40+消失在黄金阶梯上的女人,https://www.youtube.com/watch?v=JRSAyJ7HKhg,3240秒
107,43.【汽车史话03】从“盛产管理大师”的通用汽车，看美式车企百年荣辱,https://www.youtube.com/watch?v=mORRq0Cy90k,3854秒
108,42.【汽车史话02】集权者福特与全球第二畅销T型车的衰落,https://www.youtube.com/watch?v=HE7v5aOcNMY,3024秒
109,41.【汽车史话01】世界上第一辆燃油车、女车手和慈禧太后,https://www.youtube.com/watch?v=YAt23Bkdc7U,3116秒
110,40. 和美国科技界人士聊硅谷AI的冷与热：第二波浪潮拉开帷幕,https://www.youtube.com/watch?v=AzP7njJZINk,3759秒
111,39. 对凯文·凯利的50问：垄断者与国界、大富翁与人生,https://www.youtube.com/watch?v=R74oJzprlnc,3586秒
112,38. 和软银愿景原GP聊聊，大模型全球降温后，人工智能何去何从,https://www.youtube.com/watch?v=x5q5qnpVMWc,3891秒
113,37. 小冰李笛讲点真心话：只做大模型不追求商业模式是很难生存的,https://www.youtube.com/watch?v=_6G72g73T7s,5261秒
114,36.【做个生意吧！】跳向后海的年轻人、酒精和下沉年代,https://www.youtube.com/watch?v=zzmi0iyoLZA,4849秒
115,34. 被忽视的中腰部公司活得还好吗？他们的欲望、挣扎与天命,https://www.youtube.com/watch?v=X_PJHQ8F1xo,5112秒
116,33.【职场人性】企业内斗，究竟在斗什么？,https://www.youtube.com/watch?v=5O8vY6c1_vE,4109秒
117,32. 第一个把查理·芒格引入中国的人和出版风云,https://www.youtube.com/watch?v=6hHICPEqWjA,4386秒
118,31.【趋势2023】和老范从退潮的内容投资谈起,https://www.youtube.com/watch?v=g4lh4q4bDxY,3951秒
119,30.【职场人性】情商含量越高，公司越平庸？,https://www.youtube.com/watch?v=10zSeFfsdqs,4034秒
120,29. 逆全球化思潮来势汹汹，外企CEO何故密集访华？,https://www.youtube.com/watch?v=fpBAgsYikzE,3059秒
121,28. 和真格刘元聊聊，黑客松复兴、AI狂欢中，怎么夹杂着一丝朦胧的忧伤,https://www.youtube.com/watch?v=uSc5hp5EggA,5472秒
122,27. 英文播客：和深度学习奠基人聊聊大脑、模型和人类的爱,https://www.youtube.com/watch?v=hECykUoD_nM,3854秒
123,26. 令德国人惊吓的上海车展：一幅当代汽车众生图,https://www.youtube.com/watch?v=YSdaMijjwok,5130秒
124,25. OpenAI开源、亚马逊新动作，全球大模型格局走向何方,https://www.youtube.com/watch?v=GZoQZAKhgos,3322秒
125,24.【趋势2023】从北森IPO看充满挑战的中国企服这两年,https://www.youtube.com/watch?v=tqKvxwfuzsQ,4462秒
126,23. 和傅盛从这场伟大的AI变革，谈到创业、恩怨和心性,https://www.youtube.com/watch?v=2CmE6n8nWXo,2981秒
127,22. 要做中国OpenAI？李志飞劝各位同仁冷静点,https://www.youtube.com/watch?v=wZmQrCuIMXU,4098秒
128,21. 投资人视角下的大模型和市场真实水温｜和梦秋聊ChatGPT,https://www.youtube.com/watch?v=QHohx89u5pA,4311秒
129,20. The Information前记者空降巴西，她的拉美商业游记,https://www.youtube.com/watch?v=ZTN3E2-fVPE,3163秒
130,19. 硅谷银行危机未结束：未来风险传导的3个可能,https://www.youtube.com/watch?v=MEOhDeZ3oNA,2216秒
131,18. 商业口述史：从美国往事，到Google输掉OpenAI第一局,https://www.youtube.com/watch?v=nrWuOgBNZFw,4701秒
132,17.【趋势2023】沉闷的港股会好吗、富豪的家办与苦恼,https://www.youtube.com/watch?v=b6TRi2_K_lk,4413秒
133,16.【趋势2023】那些挣到钱、消失的互联网中高层去哪了,https://www.youtube.com/watch?v=T1pqiwXCC-Q,4075秒
134,15. 到美利坚去创业吧,https://www.youtube.com/watch?v=ITLOV-IwnGA,6340秒
135,14. 香港的语言政策、暧昧和青年迷思,https://www.youtube.com/watch?v=DEvMo2Vd4yA,3791秒
136,13. 邮轮小史，去寻找海面上的乌托邦,https://www.youtube.com/watch?v=ITo1dxF0Hy8,3637秒
137,12. 和黄宇翔聊东南亚另5国：小国的扈从和对冲,https://www.youtube.com/watch?v=URcjstypOgc,4195秒
138,11. 新加坡的淘金热和政商环境,https://www.youtube.com/watch?v=fsiPgh9IkjA,5119秒
139,10. 加州土著谈硅谷精神与职场：You can be totally weird!,https://www.youtube.com/watch?v=Kvp2ZG1fFd8,3928秒
140,9. 加更英文原声版：口述一部硅谷风投史,https://www.youtube.com/watch?v=g9rFFzV36jo,4797秒
141,8. 和畅销书作家马拉比聊《The Power Law》：硅谷风投的起源、秘密和大人物肖像,https://www.youtube.com/watch?v=hlsX6MBH7dY,4196秒
142,7. 和谈婧聊：硅谷冻卵历险记和Web3环球旅行,https://www.youtube.com/watch?v=FmY5U201mqk,3975秒
143,6. 显微镜下的硅谷大裁员：一笔笔现实经济账,https://www.youtube.com/watch?v=AOy8ug1xYpY,1992秒
144,5. 和黄宇翔聊东南亚6国：政治、杀戮和国父,https://www.youtube.com/watch?v=oMKVYeFpseU,7156秒
145,4.【到全世界创业生活】寻访越南：最后一个待开掘的儒家社会,https://www.youtube.com/watch?v=SUIP00kujJU,5847秒
146,3. 宇航员与机器人：漫谈深邃浪漫的ROBOT新知,https://www.youtube.com/watch?v=AlqlhEJ_sHg,3508秒
147,2. 和曹巍聊聊马斯克、机器人恐怖谷和《西部世界》,https://www.youtube.com/watch?v=abUzp2dJaEA,3355秒
148,1. 和投资人梦秋聊聊加州、投资寒潮和林黛玉,https://www.youtube.com/watch?v=VJkmkdFpUsM,3285秒
149,串台《硅谷101》｜TikTok如何在Facebook眼皮底下成长起来？,https://www.youtube.com/watch?v=aqFORILgLgk,2310秒
150,《TikTok内幕：张一鸣的巨浪征途》音频版（下集）,https://www.youtube.com/watch?v=GxrRXG7wbOg,2703秒
151,《TikTok内幕：张一鸣的巨浪征途》音频版（上集）,https://www.youtube.com/watch?v=oukZ1O0p_6Q,2123秒
